,Phone_name,Rating,Reviews,Phone_price,Discounted_price,Phone_image
142, Xiaomi 15 Ultra,,,"Rs 399,999","Rs 372,999",https://images.priceoye.pk/xiaomi-15-ultra-pakistan-priceoye-dpmxy-100x100.webp
143, GFive iMaxx,4.0,1.0,"Rs 2,949","Rs 2,849",https://images.priceoye.pk/gfive-imaxx-pakistan-priceoye-a4b8j-100x100.webp
144, Nokia 125 (2024),4.9,25.0,"Rs 5,999","Rs 5,299",https://images.priceoye.pk/nokia-pakistan-priceoye-lk8q8-100x100.webp
145, Nokia 5310 (2020),4.8,29.0,"Rs 10,399","Rs 9,599",https://images.priceoye.pk/nokia-5310-2020-pakistan-priceoye-pipc4-100x100.webp
146, Nokia 6310 (2021),4.8,28.0,"Rs 11,399","Rs 10,499",https://images.priceoye.pk/nokia-6310-2021-pakistan-priceoye-9dmo8-100x100.webp
147, Realme C25Y,4.9,101.0,"Rs 49,999","Rs 23,499",https://images.priceoye.pk/realme-c25y-pakistan-priceoye-fsh2p-100x100.webp
148, Samsung Galaxy S21 FE,4.8,101.0,"Rs 162,999","Rs 99,999",https://images.priceoye.pk/samsung-galaxy-s21-fe-pakistan-priceoye-7d8x8-100x100.webp
149, VGO TEL i251,4.5,6.0,"Rs 3,399","Rs 3,199",https://images.priceoye.pk/vgo-tel-i251-pakistan-priceoye-yulr6-100x100.webp
150, REMAXX R105,5.0,2.0,,"Rs 2,549",https://images.priceoye.pk/remaxx-r105-pakistan-priceoye-3kbeh-100x100.webp
151, Dcode Bold 2,4.9,27.0,"Rs 23,999","Rs 20,299",https://images.priceoye.pk/dcode-bold-2-pakistan-priceoye-4xtgk-100x100.webp
152, E-Tachi B105 Lite,4.9,6.0,"Rs 2,699","Rs 2,499",https://images.priceoye.pk/e-tachi-b105-lite-pakistan-priceoye-2sh63-100x100.webp
153, GRESSO Turbo 2 Plus,5.0,3.0,,"Rs 2,899",https://images.priceoye.pk/gresso-turbo-2-pakistan-priceoye-3800t-100x100.webp
154, E-Tachi iPro,5.0,14.0,"Rs 4,999","Rs 3,649",https://images.priceoye.pk/e-tachi-ipro-pakistan-priceoye-4xe2m-100x100.webp
155, Xmobile D4 Lite,4.5,2.0,"Rs 4,049","Rs 3,249",https://images.priceoye.pk/xmobile-d4-lite-pakistan-priceoye-qq2t6-100x100.webp
156, Faywa F6,5.0,3.0,"Rs 2,449","Rs 1,949",https://images.priceoye.pk/faywa-f6-pakistan-priceoye-ss5qj-100x100.webp
157, Samsung Galaxy A54 5G,4.9,175.0,"Rs 140,999","Rs 80,500",https://images.priceoye.pk/samsung-galaxy-a54-5g-pakistan-priceoye-3x6ig-100x100.webp
158, Samsung Galaxy Z Fold 5,5.0,3.0,"Rs 656,999","Rs 325,999",https://images.priceoye.pk/samsung-galaxy-z-fold-5-pakistan-priceoye-v7du0-100x100.webp
159, Samsung Galaxy Z Flip 5,5.0,2.0,"Rs 399,999","Rs 224,999",https://images.priceoye.pk/samsung-galaxy-z-flip-5-pakistan-priceoye-xks8x-100x100.webp
160, VGO TEL iMusic,4.0,4.0,"Rs 4,199","Rs 3,899",https://images.priceoye.pk/vgo-tel-imusic-pakistan-priceoye-rdf6x-100x100.webp
161, VGO TEL i10,5.0,4.0,,"Rs 3,749",https://images.priceoye.pk/vgo-tel-i10-pakistan-priceoye-0iorf-100x100.webp
162, Motorola Edge 50 Ultra,3.0,1.0,"Rs 249,999","Rs 231,999",https://images.priceoye.pk/motorola-edge-50-ultra-pakistan-priceoye-5qgsh-100x100.webp
163, E-Tachi E550 Lite,4.7,3.0,"Rs 3,999","Rs 3,849",https://images.priceoye.pk/e-tachi-e550-lite-pakistan-priceoye-4wg0j-100x100.webp
164, VgoTel Easy 200 lite,,,,"Rs 2,799",https://images.priceoye.pk/vgotel-easy-200-lite-pakistan-priceoye-1ifu3-100x100.webp
165, VGO TEL i16,5.0,1.0,"Rs 3,999","Rs 3,799",https://images.priceoye.pk/vgo-tel-i16-pakistan-priceoye-qlb62-100x100.webp
166, XMobile Muisc 400 Mini,,,,"Rs 2,700",https://images.priceoye.pk/xmobile-muisc-400-mini-pakistan-priceoye-ur4wm-100x100.webp
167, XMobile Dhoom Plus,,,"Rs 2,999","Rs 2,899",https://images.priceoye.pk/xmobile-dhoom-plus-pakistan-priceoye-6htbd-100x100.webp
168, Xmobile x4 pro,,,"Rs 3,499","Rs 3,249",https://images.priceoye.pk/xmobile-x4-pro-pakistan-priceoye-uxo68-100x100.webp
169, Itel Muzik 450,4.7,4.0,"Rs 3,999","Rs 3,499",https://images.priceoye.pk/itel-muzik-450-pakistan-priceoye-y9qkg-100x100.webp
170, Faywa F555,5.0,1.0,"Rs 3,950","Rs 3,099",https://images.priceoye.pk/faywa-f555-pakistan-priceoye-khnjj-100x100.webp
171, Nothing CMF Phone 1,4.8,12.0,"Rs 84,900","Rs 66,399",https://images.priceoye.pk/nothing-cmf-phone-1-pakistan-priceoye-6mo6r-100x100.webp
172, Nothing Phone (2a),5.0,2.0,"Rs 144,900","Rs 109,900",https://images.priceoye.pk/nothing-phone-2a-pakistan-priceoye-dde4e-100x100.webp
173, Itel Signal 10,4.5,6.0,,"Rs 2,799",https://images.priceoye.pk/itel-signal-10-pakistan-priceoye-rmtpj-100x100.webp
174, Hmd 150 Music,4.8,4.0,"Rs 6,299","Rs 6,199",https://images.priceoye.pk/hmd-150-music-pakistan-priceoye-tia03-100x100.webp
175, GFive 4g Pro Max,4.6,9.0,,"Rs 7,999",https://images.priceoye.pk/gfive-4g-pro-max-pakistan-priceoye-3lm8q-100x100.webp
